title,color,tooltip
THG-Einsparpotenzial,#e588b7,placeholder in googlesheets
Wirtschaftlichkeit,#f2a58b,placeholder in googlesheets
Einfache Umsetzung,#f3cb5c,placeholder in googlesheets
Kommune als Vorbild,#d8d300,placeholder in googlesheets
Akzeptanzförderung,#87cd49,placeholder in googlesheets
Multiplikatoreffekt,#6eafc1,placeholder in googlesheets
Benefits für die Allgemeinheit,#bbb2c5,placeholder in googlesheets
