title,tooltip
Strom,placeholder in googlesheets
Wärme,placeholder in googlesheets
Industrie / Wirtschaft,placeholder in googlesheets
Gebäude,placeholder in googlesheets
Verkehr,placeholder in googlesheets
Land & Natur,placeholder in googlesheets
Landwirtschaft,placeholder in googlesheets
Abfallwirtschaft,placeholder in googlesheets
Governance,placeholder in googlesheets
Finanzierung,placeholder in googlesheets
